,id,home_team,away_team,home_team_abv,away_team_abv,datetime
0,1022500001, Atlanta Dream,Washington Mystics,ATL,WAS,2025-05-16T13:00:00.000Z
1,1022500002, Minnesota Lynx,Dallas Wings,MIN,DAL,2025-05-16T13:00:00.000Z
2,1022500003, Los Angeles Sparks,Golden State Valkyries,LAS,GSV,2025-05-16T13:00:00.000Z
3,1022500004, Chicago Sky,Indiana Fever,CHI,IND,2025-05-17T13:00:00.000Z
4,1022500005, Las Vegas Aces,New York Liberty,LVA,NYL,2025-05-17T13:00:00.000Z
5,1022500006, Seattle Storm,Phoenix Mercury,SEA,PHX,2025-05-17T13:00:00.000Z
6,1022500007, Washington Mystics,Connecticut Sun,WAS,CON,2025-05-18T13:00:00.000Z
7,1022500008, Minnesota Lynx,Los Angeles Sparks,MIN,LAS,2025-05-18T13:00:00.000Z
8,1022500009, Seattle Storm,Dallas Wings,SEA,DAL,2025-05-19T13:00:00.000Z
9,1022500010, Las Vegas Aces,Connecticut Sun,LVA,CON,2025-05-20T13:00:00.000Z
10,1022500011, Atlanta Dream,Indiana Fever,ATL,IND,2025-05-20T13:00:00.000Z
11,1022500012, Dallas Wings,Minnesota Lynx,DAL,MIN,2025-05-21T13:00:00.000Z
12,1022500013, Washington Mystics,Golden State Valkyries,WAS,GSV,2025-05-21T13:00:00.000Z
13,1022500014, Los Angeles Sparks,Phoenix Mercury,LAS,PHX,2025-05-21T13:00:00.000Z
14,1022500015, Indiana Fever,Atlanta Dream,IND,ATL,2025-05-22T13:00:00.000Z
15,1022500016, New York Liberty,Chicago Sky,NYL,CHI,2025-05-22T13:00:00.000Z
16,1022500017, Connecticut Sun,Minnesota Lynx,CON,MIN,2025-05-23T13:00:00.000Z
17,1022500018, Washington Mystics,Las Vegas Aces,WAS,LVA,2025-05-23T13:00:00.000Z
18,1022500019, Golden State Valkyries,Los Angeles Sparks,GSV,LAS,2025-05-23T13:00:00.000Z
19,1022500020, Phoenix Mercury,Seattle Storm,PHX,SEA,2025-05-23T13:00:00.000Z
20,1022500021, New York Liberty,Indiana Fever,NYL,IND,2025-05-24T13:00:00.000Z
21,1022500022, Dallas Wings,Atlanta Dream,DAL,ATL,2025-05-24T13:00:00.000Z
22,1022500023, Connecticut Sun,Atlanta Dream,CON,ATL,2025-05-25T13:00:00.000Z
23,1022500024, Chicago Sky,Los Angeles Sparks,CHI,LAS,2025-05-25T13:00:00.000Z
24,1022500025, Washington Mystics,Phoenix Mercury,WAS,PHX,2025-05-25T13:00:00.000Z
25,1022500026, Las Vegas Aces,Seattle Storm,LVA,SEA,2025-05-25T13:00:00.000Z
26,1022500027, Dallas Wings,Connecticut Sun,DAL,CON,2025-05-27T13:00:00.000Z
27,1022500028, Golden State Valkyries,New York Liberty,GSV,NYL,2025-05-27T13:00:00.000Z
28,1022500029, Seattle Storm,Minnesota Lynx,SEA,MIN,2025-05-27T13:00:00.000Z
29,1022500030, Atlanta Dream,Los Angeles Sparks,ATL,LAS,2025-05-27T13:00:00.000Z
30,1022500031, Chicago Sky,Phoenix Mercury,CHI,PHX,2025-05-27T13:00:00.000Z
31,1022500032, Indiana Fever,Washington Mystics,IND,WAS,2025-05-28T13:00:00.000Z
32,1022500033, Golden State Valkyries,New York Liberty,GSV,NYL,2025-05-29T13:00:00.000Z
33,1022500034, Dallas Wings,Chicago Sky,DAL,CHI,2025-05-29T13:00:00.000Z
34,1022500035, Connecticut Sun,Indiana Fever,CON,IND,2025-05-30T13:00:00.000Z
35,1022500036, New York Liberty,Washington Mystics,NYL,WAS,2025-05-30T13:00:00.000Z
36,1022500037, Los Angeles Sparks,Las Vegas Aces,LAS,LVA,2025-05-30T13:00:00.000Z
37,1022500038, Minnesota Lynx,Phoenix Mercury,MIN,PHX,2025-05-30T13:00:00.000Z
38,1022500039, Atlanta Dream,Seattle Storm,ATL,SEA,2025-05-30T13:00:00.000Z
39,1022500040, Chicago Sky,Dallas Wings,CHI,DAL,2025-05-31T13:00:00.000Z
40,1022500041, Connecticut Sun,New York Liberty,CON,NYL,2025-06-01T13:00:00.000Z
41,1022500042, Phoenix Mercury,Los Angeles Sparks,PHX,LAS,2025-06-01T13:00:00.000Z
42,1022500043, Las Vegas Aces,Seattle Storm,LVA,SEA,2025-06-01T13:00:00.000Z
43,1022500044, Minnesota Lynx,Golden State Valkyries,MIN,GSV,2025-06-01T13:00:00.000Z
44,1022500045, Washington Mystics,Indiana Fever,WAS,IND,2025-06-03T13:00:00.000Z
45,1022500046, Phoenix Mercury,Minnesota Lynx,PHX,MIN,2025-06-03T13:00:00.000Z
46,1022500047, Dallas Wings,Seattle Storm,DAL,SEA,2025-06-03T13:00:00.000Z
47,1022500048, New York Liberty,Washington Mystics,NYL,WAS,2025-06-05T13:00:00.000Z
48,1022500049, Golden State Valkyries,Phoenix Mercury,GSV,PHX,2025-06-05T13:00:00.000Z
49,1022500050, Atlanta Dream,Connecticut Sun,ATL,CON,2025-06-06T13:00:00.000Z
50,1022500051, Los Angeles Sparks,Dallas Wings,LAS,DAL,2025-06-06T13:00:00.000Z
51,1022500052, Las Vegas Aces,Golden State Valkyries,LVA,GSV,2025-06-07T13:00:00.000Z
52,1022500053, Indiana Fever,Chicago Sky,IND,CHI,2025-06-07T13:00:00.000Z
53,1022500054, Seattle Storm,Phoenix Mercury,SEA,PHX,2025-06-07T13:00:00.000Z
54,1022500055, Connecticut Sun,Washington Mystics,CON,WAS,2025-06-08T13:00:00.000Z
55,1022500056, Minnesota Lynx,Dallas Wings,MIN,DAL,2025-06-08T13:00:00.000Z
56,1022500057, Golden State Valkyries,Los Angeles Sparks,GSV,LAS,2025-06-09T13:00:00.000Z
57,1022500058, Indiana Fever,Atlanta Dream,IND,ATL,2025-06-10T13:00:00.000Z
58,1022500059, Chicago Sky,New York Liberty,CHI,NYL,2025-06-10T13:00:00.000Z
59,1022500060, Los Angeles Sparks,Las Vegas Aces,LAS,LVA,2025-06-11T13:00:00.000Z
60,1022500061, Dallas Wings,Phoenix Mercury,DAL,PHX,2025-06-11T13:00:00.000Z
61,1022500062, Minnesota Lynx,Seattle Storm,MIN,SEA,2025-06-11T13:00:00.000Z
62,1022500063, Chicago Sky,Atlanta Dream,CHI,ATL,2025-06-13T13:00:00.000Z
63,1022500064, Dallas Wings,Las Vegas Aces,DAL,LVA,2025-06-13T13:00:00.000Z
64,1022500065, Los Angeles Sparks,Minnesota Lynx,LAS,MIN,2025-06-14T13:00:00.000Z
65,1022500066, New York Liberty,Indiana Fever,NYL,IND,2025-06-14T13:00:00.000Z
66,1022500067, Seattle Storm,Golden State Valkyries,SEA,GSV,2025-06-14T13:00:00.000Z
67,1022500068, Chicago Sky,Connecticut Sun,CHI,CON,2025-06-15T13:00:00.000Z
68,1022500069, Atlanta Dream,Washington Mystics,ATL,WAS,2025-06-15T13:00:00.000Z
69,1022500070, Phoenix Mercury,Las Vegas Aces,PHX,LVA,2025-06-15T13:00:00.000Z
70,1022500071, Connecticut Sun,Indiana Fever,CON,IND,2025-06-17T13:00:00.000Z
71,1022500072, Atlanta Dream,New York Liberty,ATL,NYL,2025-06-17T13:00:00.000Z
72,1022500073, Washington Mystics,Chicago Sky,WAS,CHI,2025-06-17T13:00:00.000Z
73,1022500074, Golden State Valkyries,Dallas Wings,GSV,DAL,2025-06-17T13:00:00.000Z
74,1022500075, Las Vegas Aces,Minnesota Lynx,LVA,MIN,2025-06-17T13:00:00.000Z
75,1022500076, Seattle Storm,Los Angeles Sparks,SEA,LAS,2025-06-17T13:00:00.000Z
76,1022500077, Phoenix Mercury,Connecticut Sun,PHX,CON,2025-06-18T13:00:00.000Z
77,1022500078, Phoenix Mercury,New York Liberty,PHX,NYL,2025-06-19T13:00:00.000Z
78,1022500079, Indiana Fever,Golden State Valkyries,IND,GSV,2025-06-19T13:00:00.000Z
79,1022500080, Washington Mystics,Atlanta Dream,WAS,ATL,2025-06-20T13:00:00.000Z
80,1022500081, Dallas Wings,Connecticut Sun,DAL,CON,2025-06-20T13:00:00.000Z
81,1022500082, Seattle Storm,Las Vegas Aces,SEA,LVA,2025-06-20T13:00:00.000Z
82,1022500083, Phoenix Mercury,Chicago Sky,PHX,CHI,2025-06-21T13:00:00.000Z
83,1022500084, Los Angeles Sparks,Minnesota Lynx,LAS,MIN,2025-06-21T13:00:00.000Z
84,1022500085, Chicago Sky,Atlanta Dream,CHI,ATL,2025-06-22T13:00:00.000Z
85,1022500086, Dallas Wings,Washington Mystics,DAL,WAS,2025-06-22T13:00:00.000Z
