team_id,game_date,athlete_id,team_display_name
3,2024-09-15,"[2529130, 4281929, 3913903, 3904577, 4432865, 4399415, 3916514, 4066527, 4399114, 5209660, 5106150]",Dallas Wings
3,2024-09-19,"[2529130, 4281929, 4399415, 3916514, 4432865, 4066527, 4399114, 5209660]",Dallas Wings
3,2025-05-16,"[3142055, 4398776, 3904577, 4066548, 4433730, 4399415, 3913903, 4065760, 4065780, 4433807, 4434015, 4682797]",Dallas Wings
3,2025-05-19,"[3142055, 4398776, 3904577, 4066548, 4433730, 4399415, 3913903, 4065760, 4065780, 4434015, 4682797, 4433807]",Dallas Wings
3,2025-05-21,"[3142055, 4398776, 3904577, 4066548, 4433730, 4399415, 3913903, 4065760, 4065780, 4682797, 4433807, 4434015]",Dallas Wings
3,2025-05-24,"[3142055, 4398776, 3904577, 4066548, 4433730, 4399415, 3913903, 4065760, 4065780, 4682797, 4433807, 4434015]",Dallas Wings
3,2025-05-27,"[3142055, 4398776, 3904577, 4066548, 4433730, 4399415, 3913903, 4682797, 4065760, 4065780, 4433807, 4434015]",Dallas Wings
3,2025-05-29,"[3142055, 4398776, 3904577, 4066548, 4433730, 4399415, 3913903, 4065780, 4434015, 4682797, 4065760, 4433807]",Dallas Wings
3,2025-05-31,"[3142055, 4398776, 4399415, 3904577, 4066548, 3913903, 4682797, 4065780, 4433807, 4434015]",Dallas Wings
3,2025-06-03,"[3142055, 4398776, 4399415, 3904577, 4066548, 3913903, 4682797, 4065780, 4433807, 4434015, 4065760, 4433730]",Dallas Wings
3,2025-06-06,"[3142055, 4398776, 4399415, 3904577, 4066548, 3913903, 4682797, 4065780, 4433807, 4434015]",Dallas Wings
3,2025-06-08,"[3142055, 4682797, 3904577, 4065780, 4066548, 4398776, 4399415, 3913903, 4433807, 4434015]",Dallas Wings
3,2025-06-11,"[3142055, 4682797, 3904577, 4066548, 4433730, 4398776, 4399415, 4065780, 4433807, 4434015, 4065760]",Dallas Wings
3,2025-06-13,"[3142055, 4682797, 3904577, 4066548, 4433730, 4398776, 4433807, 4434015, 4399415, 4065780]",Dallas Wings
3,2025-06-17,"[3142055, 4398776, 3904577, 4433730, 4433807, 4336633, 4065780, 4066548, 4434015, 4595910]",Dallas Wings
3,2025-06-20,"[3142055, 4398776, 3904577, 4433730, 4433807, 4336633, 4065780, 4066548, 4434015, 4595910, 4399415, 4065760]",Dallas Wings
3,2025-06-22,"[3142055, 4398776, 3904577, 4433730, 4433807, 4336633, 4065780, 4434015, 4399415, 4065760, 4066548, 4595910]",Dallas Wings
3,2025-06-24,"[4398776, 4336633, 3904577, 4065780, 4433730, 3142055, 4433807, 4434015, 4595910]",Dallas Wings
3,2025-06-27,"[4398776, 4336633, 3904577, 4065780, 4433730, 3142055, 4433807, 4434015, 4595910]",Dallas Wings
3,2025-06-28,"[4398776, 4336633, 3904577, 4065780, 4434015, 3142055, 4433807, 4595910]",Dallas Wings
3,2025-07-03,"[4336633, 4682797, 4433730, 4433807, 4434015, 3142055, 4596309, 3913903]",Dallas Wings
3,2025-07-07,"[4336633, 4682797, 4433730, 4433807, 4434015, 3142055, 4596309, 3913903, 4399415, 3904577, 4065760, 4066548]",Dallas Wings
3,2025-07-09,"[4336633, 4682797, 4433730, 4433807, 4434015, 3142055, 3913903, 4595910, 4399415, 3904577, 4065760, 4066548]",Dallas Wings
3,2025-07-13,"[4336633, 4682797, 3904577, 4433730, 4434015, 3142055, 3913903, 4433807, 4595910, 4399415, 4065760, 4066548]",Dallas Wings
3,2025-07-16,"[4336633, 4682797, 3904577, 4433730, 4434015, 3142055, 3913903, 4433807, 4595910, 4398899]",Dallas Wings
3,2025-07-22,"[4336633, 4682797, 3904577, 4433730, 4434015, 3913903, 4066548, 4398899, 4433807, 4595910, 3142055, 4399415, 4065760]",Dallas Wings
3,2025-07-25,"[4336633, 4682797, 3904577, 4433730, 4434015, 4066548, 4433807, 4595910, 3913903, 4398899]",Dallas Wings
3,2025-07-27,"[4336633, 4682797, 3904577, 4066548, 4434015, 3913903, 4398899, 4433807, 4595910]",Dallas Wings
3,2025-07-28,"[4682797, 3904577, 4433730, 4434015, 4595910, 3142055, 4336633, 4066548, 4398899, 4433807, 3913903]",Dallas Wings
3,2025-07-30,"[4682797, 3904577, 4433730, 4434015, 4595910, 3142055, 4336633, 4066548, 4433807, 3913903, 4398899]",Dallas Wings
3,2025-08-01,"[4682797, 3904577, 4433730, 4434015, 4595910, 3142055, 3913903, 4336633, 4066548, 4433807]",Dallas Wings
3,2025-08-05,"[4682797, 3904577, 4433730, 4434015, 4595910, 4399415, 4433635, 4336633, 4398899, 4433807, 3142055, 4065760]",Dallas Wings
3,2025-08-08,"[4336633, 4682797, 3904577, 4433807, 4595910, 3142055, 4399415, 4433635, 4398899, 4434015]",Dallas Wings
3,2025-08-10,"[4682797, 3904577, 4398899, 4433730, 4595910, 3142055, 4399415, 4433635, 4336633, 4433807, 4434015]",Dallas Wings
3,2025-08-12,"[4399415, 4682797, 4398899, 4433730, 4595910, 3142055, 4433635, 4336633, 4433807, 4434015, 3904577, 4065760]",Dallas Wings
3,2025-08-15,"[4399415, 4682797, 4398899, 4433730, 4595910, 3142055, 4433635, 4336633, 4433807, 4434015]",Dallas Wings
3,2025-08-17,"[4399415, 4682797, 4398899, 4433730, 4595910, 3142055, 4433635, 4433807, 4434015, 4336633, 3904577, 4065760]",Dallas Wings
3,2025-08-20,"[4399415, 4682797, 4398899, 4433730, 4595910, 3142055, 4433635, 4433807, 4434015, 4336633, 3904577, 4065760]",Dallas Wings
3,2025-08-22,"[4399415, 4682797, 4398899, 4433730, 4595910, 3142055, 3142242, 4433635, 4433807]",Dallas Wings
3,2025-08-24,"[4399415, 4682797, 4398899, 4433730, 4595910, 3142055, 3142242, 4433635, 4433807]",Dallas Wings
3,2025-08-27,"[4399415, 4682797, 4398899, 4433807, 4595910, 3142055, 3142242, 4433635, 4898994]",Dallas Wings
3,2025-08-29,"[3142055, 4399415, 4433635, 4398899, 4433730, 3142242, 4398965, 4898994]",Dallas Wings
3,2025-09-01,"[3142055, 3142242, 4399415, 4398899, 4433730, 4433635, 4398965, 4898994, 4336633, 4682797, 3904577, 4065760, 4433807, 4434015, 4595910]",Dallas Wings
3,2025-09-04,"[3142055, 4399415, 4398899, 4433730, 4595910, 3142242, 4433635, 4433807, 4704417, 4398965]",Dallas Wings
3,2025-09-07,"[3142055, 4399415, 4398899, 4433730, 4595910, 3142242, 4433635, 4704417, 4398965, 4433807, 4336633, 4682797, 3904577, 4065760, 4434015]",Dallas Wings
3,2025-09-11,"[3142055, 4399415, 4398899, 4433730, 4595910, 3142242, 4433635, 4704417, 4398965, 4433807]",Dallas Wings
5,2024-05-14,"[3917453, 4398776, 4432831, 2491214, 4433403, 2569044, 3142191, 3156318, 4398899, 4398752, 4398829, 4432864]",Indiana Fever
5,2024-05-16,"[3917453, 4398776, 4432831, 2491214, 4433403, 4398752, 2569044, 3142191, 3156318, 4398829, 4398899, 4432864]",Indiana Fever
5,2024-05-18,"[3917453, 4398776, 4432831, 3142191, 4433403, 2569044, 2491214, 3156318, 4398829, 4398752, 4398899, 4432864]",Indiana Fever
5,2024-05-20,"[3917453, 4398776, 4432831, 3142191, 4433403, 2569044, 2491214, 3156318, 4398752, 4398829, 4398899, 4432864]",Indiana Fever
5,2024-05-22,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 2569044, 2491214, 4398829, 4398752, 4398899, 4432864]",Indiana Fever
5,2024-05-24,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 2569044, 2491214, 2955898, 4398752, 4398829, 4398899, 4432864]",Indiana Fever
5,2024-05-25,"[3917453, 4432831, 2569044, 3142191, 4433403, 4398752, 4398776, 2491214, 4398829, 4398899, 4432864]",Indiana Fever
5,2024-05-28,"[4432831, 2569044, 3142191, 3156318, 4433403, 3917453, 4398776, 2491214, 4398829, 4398752, 4398899, 4432864]",Indiana Fever
5,2024-05-30,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 4398752, 4398829, 4398899, 4432864, 2569044, 2491214]",Indiana Fever
5,2024-06-01,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 2491214, 4398899, 4398752, 2569044, 4398829, 4432864]",Indiana Fever
5,2024-06-02,"[4398776, 4432831, 3142191, 3156318, 4433403, 2955898, 3917453, 4398752, 2491214, 4398829, 4398899, 4432864]",Indiana Fever
5,2024-06-07,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 2491214, 4398752, 2569044, 4398829, 4398899, 4432864]",Indiana Fever
5,2024-06-10,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 4398752, 2491214, 4398829, 4398899, 4432864, 2569044]",Indiana Fever
5,2024-06-13,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 2491214, 4398829, 4398752, 2569044, 4398899, 4432864]",Indiana Fever
5,2024-06-16,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 2491214, 4398829, 4398752, 2569044, 4398899, 4432864]",Indiana Fever
5,2024-06-19,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 2491214, 4398829, 4398752, 2569044, 4398899, 4432864]",Indiana Fever
5,2024-06-21,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 4398752, 2491214, 4398829, 4398899, 4432864]",Indiana Fever
5,2024-06-23,"[4398776, 4432831, 3142191, 3156318, 4433403, 2955898, 3917453, 2491214, 4398829, 4398752, 2569044, 4398899, 4432864]",Indiana Fever
5,2024-06-27,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 2569044, 2491214, 4398829, 2955898, 4398752, 4398899]",Indiana Fever
5,2024-06-30,"[4398776, 4432831, 3142191, 3156318, 4433403, 3917453, 2569044, 2491214, 4398829, 2955898, 4398752, 4398899]",Indiana Fever
5,2024-07-02,"[3917453, 4398776, 4432831, 3142191, 4433403, 2955898, 2569044, 2491214, 3156318, 4398752, 4398829, 4398899]",Indiana Fever
5,2024-07-06,"[3917453, 4398776, 4432831, 3142191, 4433403, 2955898, 2491214, 3156318, 4398829, 4398752, 2569044, 4398899]",Indiana Fever
5,2024-07-10,"[3917453, 4432831, 3142191, 4398829, 4433403, 2955898, 4398776, 2491214, 3156318, 4398752, 2569044, 4398899]",Indiana Fever
5,2024-07-12,"[3917453, 4398776, 4432831, 3142191, 4433403, 2955898, 2491214, 4398829, 4398752, 2569044, 3156318, 4398899]",Indiana Fever
5,2024-07-14,"[3917453, 4398776, 4432831, 3142191, 4433403, 2955898, 2491214, 4398829, 4398752, 2569044, 3156318, 4398899]",Indiana Fever
5,2024-07-17,"[3917453, 4398776, 4432831, 3142191, 4433403, 2955898, 2491214, 4398829, 4398752, 3156318, 4398899]",Indiana Fever
5,2024-08-16,"[3917453, 4398776, 4432831, 3142191, 4433403, 2955898, 2491214, 4398829, 4398752, 2569044, 3156318, 4398899]",Indiana Fever
5,2024-08-18,"[3917453, 4398776, 4432831, 3142191, 4433403, 2955898, 4398752, 2491214, 3156318, 4398829, 4398899, 2569044]",Indiana Fever
5,2024-08-24,"[3917453, 4398776, 4432831, 3142191, 4433403, 2955898, 2569044, 2491214, 4398829, 4398752, 3156318, 4398899]",Indiana Fever
5,2024-08-26,"[3917453, 4398776, 4432831, 3142191, 4433403, 2955898, 2569044, 2491214, 4398829, 4398752, 3156318, 4398899]",Indiana Fever
5,2024-08-28,"[4398776, 4432831, 3142191, 4398829, 4433403, 2955898, 2569044, 2491214, 3917453, 4398752, 3156318, 4398899]",Indiana Fever
5,2024-08-30,"[4398776, 4432831, 3142191, 4398829, 4433403, 2955898, 4398752, 2569044, 2491214, 3156318, 4398899, 3917453]",Indiana Fever
5,2024-09-01,"[4398776, 4432831, 3142191, 4398829, 4433403, 2955898, 3917453, 2569044, 2491214, 4398752, 3156318, 4398899]",Indiana Fever
5,2024-09-04,"[4398776, 4432831, 3142191, 4398829, 4433403, 2955898, 3917453, 2491214, 4398752, 2569044, 3156318, 4398899]",Indiana Fever
5,2024-09-06,"[4398776, 4432831, 3142191, 4398829, 4433403, 2955898, 3917453, 2569044, 2491214, 4398752, 3156318, 4398899]",Indiana Fever
5,2024-09-08,"[4398776, 4432831, 3142191, 4398829, 4433403, 2955898, 3917453, 2569044, 2491214, 4398752, 3156318, 4398899]",Indiana Fever
5,2024-09-11,"[4398776, 4432831, 3142191, 4398829, 4433403, 2955898, 3917453, 2569044, 2491214, 3156318, 4398752, 4398899]",Indiana Fever
5,2024-09-13,"[4398776, 4432831, 3142191, 4398829, 4433403, 2955898, 2569044, 2491214, 3917453, 4398752, 3156318, 4398899]",Indiana Fever
5,2024-09-15,"[4398776, 4432831, 3142191, 4398829, 4433403, 2955898, 3917453, 2569044, 2491214, 4398752, 3156318, 4398899]",Indiana Fever
5,2024-09-19,"[4398776, 4432831, 3142191, 4398829, 4433403, 2955898, 3917453, 4398752, 2569044, 2491214, 3156318, 4398899]",Indiana Fever
5,2024-09-22,"[4398776, 4432831, 3142191, 4398829, 4433403, 2955898, 3917453, 4398752, 2569044, 2491214, 3156318, 4398899]",Indiana Fever
5,2024-09-25,"[4432831, 2569044, 3142191, 4398829, 4433403, 2955898, 4398776, 2491214, 3917453, 4398752, 3156318, 4398899]",Indiana Fever
5,2025-05-17,"[869, 2529130, 4432831, 3142191, 4433403, 2955898, 3142086, 4433546, 1004, 4398829, 3907781]",Indiana Fever
5,2025-05-20,"[869, 2529130, 4432831, 3142191, 4433403, 2955898, 3142086, 1004, 4398829, 4433546, 3907781]",Indiana Fever
5,2025-05-22,"[869, 2529130, 4432831, 3142191, 4433403, 2955898, 1004, 3907781, 4398829, 3142086, 4433546]",Indiana Fever
5,2025-05-24,"[2529130, 4432831, 3142191, 4398829, 4433403, 869, 2955898, 3907781, 3142086, 4433546, 1004]",Indiana Fever
5,2025-05-28,"[2529130, 4432831, 1004, 3142191, 4398829, 869, 2955898, 4433546, 3907781, 3142086, 4433403]",Indiana Fever
5,2025-05-30,"[2529130, 4432831, 1004, 3142191, 4398829, 869, 2955898, 3142086, 3907781, 4433546, 4433403]",Indiana Fever
5,2025-06-03,"[2529130, 4432831, 1004, 3142191, 4398829, 869, 2955898, 3142086, 4066553, 4433546, 3907781, 4433403]",Indiana Fever
5,2025-06-07,"[2529130, 4432831, 1004, 3142191, 4398829, 869, 2955898, 3142086, 4433546, 4066553, 3907781, 4433403]",Indiana Fever
5,2025-06-10,"[2529130, 4432831, 1004, 3142191, 4398829, 869, 2955898, 3142086, 4433546, 4066553]",Indiana Fever
5,2025-06-14,"[2529130, 4432831, 3142191, 4398829, 4433403, 2955898, 3142086, 4433546, 1004, 3907781, 869]",Indiana Fever
