,id,home_team,away_team,home_team_abv,away_team_abv,datetime
64,1022400065, Las Vegas Aces,Los Angeles Sparks,LVA,LAS,2024-06-09T15:00:00.000Z
65,1022400066, Indiana Fever,Connecticut Sun,IND,CON,2024-06-10T15:00:00.000Z
66,1022400067, Washington Mystics,Atlanta Dream,WAS,ATL,2024-06-11T15:00:00.000Z
67,1022400068, Minnesota Lynx,Las Vegas Aces,MIN,LVA,2024-06-11T15:00:00.000Z
68,1022400069, Los Angeles Sparks,Seattle Storm,LAS,SEA,2024-06-11T15:00:00.000Z
69,1022400070, Connecticut Sun,Chicago Sky,CON,CHI,2024-06-12T15:00:00.000Z
70,1022400071, Atlanta Dream,Indiana Fever,ATL,IND,2024-06-13T15:00:00.000Z
71,1022400072, Seattle Storm,Dallas Wings,SEA,DAL,2024-06-13T15:00:00.000Z
72,1022400073, Las Vegas Aces,Phoenix Mercury,LVA,PHX,2024-06-13T15:00:00.000Z
73,1022400074, Chicago Sky,Washington Mystics,CHI,WAS,2024-06-14T15:00:00.000Z
74,1022400075, Los Angeles Sparks,Minnesota Lynx,LAS,MIN,2024-06-14T15:00:00.000Z
75,1022400076, Connecticut Sun,Dallas Wings,CON,DAL,2024-06-15T15:00:00.000Z
76,1022400077, New York Liberty,Las Vegas Aces,NYL,LVA,2024-06-15T15:00:00.000Z
77,1022400078, Seattle Storm,Phoenix Mercury,SEA,PHX,2024-06-16T15:00:00.000Z
78,1022400079, Chicago Sky,Indiana Fever,CHI,IND,2024-06-16T15:00:00.000Z
79,1022400080, Los Angeles Sparks,Atlanta Dream,LAS,ATL,2024-06-16T15:00:00.000Z
80,1022400081, Dallas Wings,Minnesota Lynx,DAL,MIN,2024-06-17T15:00:00.000Z
81,1022400082, Los Angeles Sparks,Connecticut Sun,LAS,CON,2024-06-18T15:00:00.000Z
82,1022400083, New York Liberty,Phoenix Mercury,NYL,PHX,2024-06-18T15:00:00.000Z
83,1022400084, Washington Mystics,Indiana Fever,WAS,IND,2024-06-19T15:00:00.000Z
84,1022400085, Atlanta Dream,Minnesota Lynx,ATL,MIN,2024-06-19T15:00:00.000Z
85,1022400086, Seattle Storm,Las Vegas Aces,SEA,LVA,2024-06-19T15:00:00.000Z
86,1022400087, Dallas Wings,Chicago Sky,DAL,CHI,2024-06-20T15:00:00.000Z
87,1022400088, Los Angeles Sparks,New York Liberty,LAS,NYL,2024-06-20T15:00:00.000Z
88,1022400089, Indiana Fever,Atlanta Dream,IND,ATL,2024-06-21T15:00:00.000Z
89,1022400090, Connecticut Sun,Las Vegas Aces,CON,LVA,2024-06-21T15:00:00.000Z
90,1022400091, Dallas Wings,Washington Mystics,DAL,WAS,2024-06-22T15:00:00.000Z
91,1022400092, Los Angeles Sparks,New York Liberty,LAS,NYL,2024-06-22T15:00:00.000Z
92,1022400093, Phoenix Mercury,Minnesota Lynx,PHX,MIN,2024-06-22T15:00:00.000Z
93,1022400094, New York Liberty,Atlanta Dream,NYL,ATL,2024-06-23T15:00:00.000Z
94,1022400095, Dallas Wings,Washington Mystics,DAL,WAS,2024-06-23T15:00:00.000Z
95,1022400096, Indiana Fever,Chicago Sky,IND,CHI,2024-06-23T15:00:00.000Z
96,1022400097, Connecticut Sun,Seattle Storm,CON,SEA,2024-06-23T15:00:00.000Z
97,1022400098, Minnesota Lynx,Dallas Wings,MIN,DAL,2024-06-27T15:00:00.000Z
98,1022400099, Connecticut Sun,Washington Mystics,CON,WAS,2024-06-27T15:00:00.000Z
99,1022400100, Las Vegas Aces,Chicago Sky,LVA,CHI,2024-06-27T15:00:00.000Z
100,1022400101, Indiana Fever,Seattle Storm,IND,SEA,2024-06-27T15:00:00.000Z
101,1022400102, Atlanta Dream,Connecticut Sun,ATL,CON,2024-06-28T15:00:00.000Z
102,1022400103, Los Angeles Sparks,Phoenix Mercury,LAS,PHX,2024-06-28T15:00:00.000Z
103,1022400104, Las Vegas Aces,Washington Mystics,LVA,WAS,2024-06-29T15:00:00.000Z
104,1022400105, Dallas Wings,Seattle Storm,DAL,SEA,2024-06-29T15:00:00.000Z
105,1022400106, Atlanta Dream,New York Liberty,ATL,NYL,2024-06-30T15:00:00.000Z
